label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
tau_p_0p008_low,tau_p,$\tau_p$,hpwp_tau_p,0.008,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164501_least_load_hpwp_v1,3195.3695652173915,3227.0,5667.25,7603.0,1.0,0.6047530280455641,ok
tau_p_0p008_low,tau_p,$\tau_p$,hpwp_tau_p,0.008,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164505_least_load_hpwp_v1,2932.5197132616486,2935.0,5681.5999999999985,7672.159999999983,1.0,0.6173559870589717,ok
tau_p_0p008_mid,tau_p,$\tau_p$,hpwp_tau_p,0.008,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164509_least_load_hpwp_v1,2613.9499036608863,2318.0,5328.9,7432.940000000003,1.0,0.5204711640523647,ok
tau_p_0p008_mid,tau_p,$\tau_p$,hpwp_tau_p,0.008,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164514_least_load_hpwp_v1,2619.6500920810313,2450.0,5107.699999999998,6597.480000000002,1.0,0.5418743453288998,ok
tau_p_0p008_mid,tau_p,$\tau_p$,hpwp_tau_p,0.008,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164518_least_load_hpwp_v1,2347.180987202925,2176.0,4521.599999999999,6660.9599999999955,1.0,0.5211424806138758,ok
tau_p_0p008_high,tau_p,$\tau_p$,hpwp_tau_p,0.008,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164522_least_load_hpwp_v1,2078.8772426817754,1554.0,4763.099999999988,6690.080000000042,1.0,0.40566314987161206,ok
tau_p_0p008_high,tau_p,$\tau_p$,hpwp_tau_p,0.008,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164527_least_load_hpwp_v1,2021.118811881188,1526.0,4671.5,6981.8000000000075,1.0,0.3947359631398959,ok
tau_p_0p008_high,tau_p,$\tau_p$,hpwp_tau_p,0.008,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164532_least_load_hpwp_v1,1884.9679144385027,1542.5,4356.55,6465.619999999986,1.0,0.412567484375399,ok
tau_p_0p012_low,tau_p,$\tau_p$,hpwp_tau_p,0.012,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164536_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
tau_p_0p012_low,tau_p,$\tau_p$,hpwp_tau_p,0.012,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164540_least_load_hpwp_v1,3195.3695652173915,3227.0,5667.25,7603.0,1.0,0.6047530280455641,ok
